id	author_id	base_language	text	posted_time_in_years
6297	133	hin	he is reminding me days of lalu style politics... adhikariyo ko fatkar..diya ultimatum!!	2016
87	73	hin	"heard on arnab's show ""politics is d art of possibility"" was told d same by  during a very tense moment in .. yaad aa gaya"	2014
264	73	hin	“: army chief bikram singh to begin rare china visit from wednesday   badhiya !	2014
4026	73	hin	secular leftist politics say nahi minority appeasement in the name of secularism say prob hai  left say nahi mediocrity say prob	2015
4478	73	hin	bihar kya nikla .... shuru hua  ki politics !!	2015
5791	73	hin	jaise hi identity politics wale cow milk sena band kar degi sab sudharenge ... i c this happening in the next decade	2016
5828	73	hin	country ka nahi country ki politics ka issue hai, awaam is as hardworking as anyone else no?	2016
6436	73	hin	hahahahahaha .... we r here to change politics  peechay foto sahi hai banner par	2016
31	73	hin	"the perfect bollywood song of the day is ""aakhir tumhay aana hai ... jara derr lagegi ""  modi's invite"	2014
253	73	hin	just watch patent trap and kuch kuch hota hai and wonder y does a  year old speak like an aunty abt  while lohan does great !	2014
260	73	hin	“: hindi has put indian culture on the world map  really ? how ? i thought bollywood, iit n taj mahal had	2014
772	73	hin	bollywood main latest kya pasand aaya ?	2014
1315	73	hin	"just heard at a pan shop in versova  ""shaadi k baad main mar jai to gham nahi.....kuwaara nahi marna""at pm"	2014
3559	73	hin	and not only watches .... mbbs his most favourite bollywood .... matlab kayee dekhe hai 	2015
3803	73	hin	"it's become a fashion in mumbai to say ""i don't believe in narration""    saala itna padhte likhte to yaha nahi hote "	2015
3835	73	hin	"u cud b slightly more poetic n quite that bollywood song ""aakhir tumhay aana hai, jara derr lagegi...."" "	2015
4863	73	hin	nahi yaar kaisi baat kar rahe ho ...... rehne do usko .... jisko na pasand ho srk na dekhe, boycott why?	2015
6089	73	hin	bhaijaan  aa jao mumbai ...	2016
6202	73	hin	lokhandwala, andheri west wale ccd pe ho kya bhaijaan 	2016
6378	73	hin	bada swaab hoga bhaijaan	2016
6438	73	hin	bhaijaan .... aapki taleem biology ki bhi nahi hai ... genealogy pe baad main jaiyeah	2016
6454	73	hin	ikram bhaijaan youtube link dekh le .... aapke haq may baat kar rahe hai haqqani	2016
6636	73	hin	maine to kaha hi nahi aisa bhaijaan ? kab sun liya aapne ?  main to keh raha hun asylum dene wala ahsan karta hai	2016
6635	73	hin	bhaijaan jaa k padhe ya kisi human rights wale say poochay wo bata dega .... ahmadi refugees pe poori ek docu ki hai maine so 	2016
6890	73	hin	arre kaha bhaijaan .... india taraf to nd rate fauz aayegi ... st rate to one eyed dajjal ko defeat karegi 	2016
6950	73	hin	maa kasam.... delusion ki hadd hai.... sir ko bollywood star hona chahiyeah	2016
